fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnk1MjI2MzM0Mw==,bcbio-nextgen,druvus/bcbio-nextgen,druvus,https://github.com/druvus/bcbio-nextgen,2016-02-22T09:47:22Z,2016-02-22T09:47:24Z
MDEwOlJlcG9zaXRvcnk1MjU0MDU4MQ==,bcbio-nextgen,bcosc/bcbio-nextgen,bcosc,https://github.com/bcosc/bcbio-nextgen,2016-02-25T16:42:10Z,2016-02-25T16:42:11Z
MDEwOlJlcG9zaXRvcnk1MjY0OTEyNA==,bcbio-nextgen,wiseflying/bcbio-nextgen,wiseflying,https://github.com/wiseflying/bcbio-nextgen,2016-02-27T04:03:52Z,2016-02-27T04:03:54Z
MDEwOlJlcG9zaXRvcnk1MzA3NTk1Nw==,bcbio-nextgen,Cyberbio-Lab/bcbio-nextgen,Cyberbio-Lab,https://github.com/Cyberbio-Lab/bcbio-nextgen,2016-03-03T19:10:39Z,2016-03-03T19:10:41Z
MDEwOlJlcG9zaXRvcnk1NDA0MzYyMA==,bcbio-nextgen,dlorson/bcbio-nextgen,dlorson,https://github.com/dlorson/bcbio-nextgen,2016-03-16T15:26:35Z,2016-03-16T15:26:37Z
MDEwOlJlcG9zaXRvcnk1NTcxODMxMg==,bcbio-nextgen,sxv/bcbio-nextgen,sxv,https://github.com/sxv/bcbio-nextgen,2016-04-07T18:30:09Z,2016-04-07T18:30:11Z
MDEwOlJlcG9zaXRvcnk1NjA5MzU4Nw==,bcbio-nextgen,jielovedata/bcbio-nextgen,jielovedata,https://github.com/jielovedata/bcbio-nextgen,2016-04-12T19:58:22Z,2016-04-12T19:58:24Z
MDEwOlJlcG9zaXRvcnk1ODE2Njc2Nw==,bcbio-nextgen,nicholas-owen/bcbio-nextgen,nicholas-owen,https://github.com/nicholas-owen/bcbio-nextgen,2016-05-05T23:23:42Z,2016-05-05T23:23:44Z
MDEwOlJlcG9zaXRvcnk1ODcxNzg3Nw==,bcbio-nextgen,dbolser-ebi/bcbio-nextgen,dbolser-ebi,https://github.com/dbolser-ebi/bcbio-nextgen,2016-05-13T08:27:46Z,2016-05-13T08:27:48Z
MDEwOlJlcG9zaXRvcnk1OTEyNzg1MQ==,bcbio-nextgen,mutual-ai/bcbio-nextgen,mutual-ai,https://github.com/mutual-ai/bcbio-nextgen,2016-05-18T15:23:17Z,2018-03-05T18:22:47Z
MDEwOlJlcG9zaXRvcnk1OTE5MjM3Nw==,bcbio-nextgen,zrilak/bcbio-nextgen,zrilak,https://github.com/zrilak/bcbio-nextgen,2016-05-19T09:23:32Z,2016-05-19T09:23:34Z
MDEwOlJlcG9zaXRvcnk2MDc2NjQ2Mw==,bcbio-nextgen,cbrueffer/bcbio-nextgen,cbrueffer,https://github.com/cbrueffer/bcbio-nextgen,2016-06-09T10:27:45Z,2016-06-09T10:27:47Z
MDEwOlJlcG9zaXRvcnk2MDc4Mjg2MQ==,bcbio-nextgen,lijiayong/bcbio-nextgen,lijiayong,https://github.com/lijiayong/bcbio-nextgen,2016-06-09T14:53:59Z,2016-06-09T14:54:02Z
MDEwOlJlcG9zaXRvcnk2MTA5Mzc0Mg==,bcbio-nextgen,hmkim/bcbio-nextgen,hmkim,https://github.com/hmkim/bcbio-nextgen,2016-06-14T05:18:01Z,2016-06-14T05:18:03Z
MDEwOlJlcG9zaXRvcnk2MjM3NzczNw==,bcbio-nextgen,sch-sdgs/bcbio-nextgen,sch-sdgs,https://github.com/sch-sdgs/bcbio-nextgen,2016-07-01T08:30:19Z,2016-07-01T08:30:24Z
MDEwOlJlcG9zaXRvcnk2Mjc0NDc4Mg==,bcbio-nextgen,samesense/bcbio-nextgen,samesense,https://github.com/samesense/bcbio-nextgen,2016-07-06T18:38:43Z,2016-07-06T18:38:45Z
MDEwOlJlcG9zaXRvcnk2MzU3NzkwNA==,bcbio-nextgen,hliang/bcbio-nextgen,hliang,https://github.com/hliang/bcbio-nextgen,2016-07-18T06:54:09Z,2016-07-18T06:54:11Z
MDEwOlJlcG9zaXRvcnk2NDE4MDU0NQ==,bcbio-nextgen,than9th/bcbio-nextgen,than9th,https://github.com/than9th/bcbio-nextgen,2016-07-26T01:43:48Z,2016-07-26T01:43:50Z
